g1,vcmax,tleaf,twood,troot,aleaf,awood,aroot
3.77,4e-05,3.7197916507720947,0.0,2.96950364112854,0.7925,0.0,0.2075
3.77,4e-05,3.6231679916381836,0.0,2.114603042602539,0.2425,0.0,0.7575
3.77,4e-05,1.8442046642303467,0.0,2.7651708126068115,0.7225,0.0,0.2775
3.77,4e-05,0.5673301815986633,0.0,1.4410711526870728,0.3825,0.0,0.6175
3.77,4e-05,1.5235278606414795,0.0,1.2396284341812134,0.1525,0.0,0.8475
3.77,4e-05,3.248812437057495,0.0,5.579882621765137,0.5025,0.0,0.4975
3.77,4e-05,1.9814058542251587,0.0,3.148409128189087,0.6925,0.0,0.3075
3.77,4e-05,2.006420612335205,0.0,1.0339878797531128,0.7025,0.0,0.2975
3.77,4e-05,2.3413424491882324,0.0,1.0553545951843262,0.6275,0.0,0.3725
3.77,4e-05,1.3750585317611694,0.0,3.9367101192474365,0.5275,0.0,0.4725
3.77,4e-05,0.5629571676254272,0.0,1.3436037302017212,0.8175,0.0,0.1825
3.77,4e-05,4.471689701080322,0.0,1.5034799575805664,0.38,0.0,0.62
3.77,4e-05,1.0396448373794556,0.0,0.7863650918006897,0.175,0.0,0.825
3.77,4e-05,3.3704335689544678,0.0,2.2875266075134277,0.7075,0.0,0.2925
3.77,4e-05,1.1730331182479858,0.0,2.2312252521514893,0.435,0.0,0.565
3.77,4e-05,1.9289461374282837,0.0,1.5286922454833984,0.5925,0.0,0.4075
3.77,4e-05,1.5459355115890503,0.0,5.613276481628418,0.5925,0.0,0.4075
3.77,4e-05,2.4016811847686768,0.0,0.726985514163971,0.27,0.0,0.73
3.77,4e-05,1.0302554368972778,0.0,1.8037413358688354,0.6125,0.0,0.3875
3.77,4e-05,2.729513168334961,0.0,1.2132270336151123,0.2275,0.0,0.7725
3.77,4e-05,2.064218759536743,0.0,1.5617023706436157,0.7875,0.0,0.2125
3.77,4e-05,1.5204766988754272,0.0,3.234666109085083,0.35,0.0,0.65
3.77,4e-05,5.985732555389404,0.0,3.696475028991699,0.635,0.0,0.365
